1x,,,,,,,
,Sn, Sp,Acc, MCC, Pre, Recall, F-score
p_EAAC(k=8),0.97375,0.9525,0.963125,0.927456907,0.97375,0.955030381,0.963795855
p_EAAC(k=9),0.97,0.9475,0.95875,0.91972273,0.97,0.951553916,0.959705905
p_EAAC(k=10),0.975,0.9175,0.94625,0.895909747,0.975,0.925240165,0.948519883
EGAAC(k=5),0.7825,0.91375,0.848125,0.704078303,0.7825,0.900625871,0.835889035
GDPC,0.87,0.96875,0.919375,0.84383709,0.87,0.965354776,0.914431896
GTPC,0.97375,0.9975,0.985625,0.971676401,0.97375,0.997451299,0.985373946
TPC,1,0.98625,0.993125,0.986482635,1,0.986715477,0.993243681
GAAC,0.78375,0.8225,0.803125,0.608097268,0.78375,0.815965614,0.798662352
5x,,,,,,,
,Sn, Sp,Acc, MCC, Pre, Recall, F-score
AAC,0.99,0.9725,0.98125,0.962871927,0.99,0.973295743,0.981465322
CKSAAP(k=2),1,0.9975,0.99875,0.997517104,1,0.997534209,0.998758616
CKSAAP(k=3),1,0.996666667,0.998333333,0.996687214,1,0.996707763,0.998343678
CKSAAP(k=4),1,0.995833333,0.997916667,0.995857324,1,0.995881317,0.99792874
CKSAAP(k=5),1,0.994166667,0.997083333,0.994217697,1,0.994268739,0.99710911
CKSAAP(k=6),1,0.994166667,0.997083333,0.994204318,1,0.994241973,0.997102294
CTriad(k=0),0.985833333,0.993333333,0.989583333,0.979210568,0.985833333,0.993284076,0.989536145
CTriad(k=1),0.985833333,0.993333333,0.989583333,0.979210568,0.985833333,0.993284076,0.989536145
CTriad(k=2),0.985833333,0.993333333,0.989583333,0.979210568,0.985833333,0.993284076,0.989536145
CTriad(k=3),0.985833333,0.993333333,0.989583333,0.979210568,0.985833333,0.993284076,0.989536145
CTriad(k=4),0.985833333,0.993333333,0.989583333,0.979210568,0.985833333,0.993284076,0.989536145
CTriad(k=5),0.985833333,0.993333333,0.989583333,0.979210568,0.985833333,0.993284076,0.989536145
DDE,0.996666667,0.993333333,0.995,0.990040756,0.996666667,0.99341497,0.995020604
DPC,1,0.996666667,0.998333333,0.996687214,1,0.996707763,0.998343678
CTDC,0.901666667,0.868333333,0.885,0.771438619,0.901666667,0.874473726,0.887262047
CTDD,0.9575,0.974166667,0.965833333,0.931888476,0.9575,0.973715775,0.965487586
CTDD,0.958333333,0.966666667,0.9625,0.925331,0.958333333,0.966832542,0.96240551
AAC_count,0.993333333,0.946666667,0.97,0.94133409,0.993333333,0.949541297,0.970791401
PAAC,0.986666667,0.94,0.963333333,0.927965079,0.986666667,0.943170718,0.964281143
AAC+DPC,1,0.995833333,0.997916667,0.995857324,1,0.995881317,0.99792874
AAC+TPC,1,0.9975,0.99875,0.997517104,1,0.997534209,0.998758616
CTD,0.915833333,0.965,0.940416667,0.882298867,0.915833333,0.963208047,0.938657195
EAAC(k=7),0.971666667,0.920833333,0.94625,0.894567001,0.971666667,0.926272529,0.9479471
EAAC(k=5),0.973333333,0.933333333,0.953333333,0.908095903,0.973333333,0.93691702,0.954419823
EAAC(k=6),0.9725,0.929166667,0.950833333,0.903176072,0.9725,0.933163905,0.952082521
EAAC(k=8),0.97,0.915,0.9425,0.887291989,0.97,0.921191164,0.944456199
EAAC(k=9),0.970833333,0.906666667,0.93875,0.880177009,0.970833333,0.913891809,0.941041045
EAAC(k=10),0.9775,0.8975,0.9375,0.878778385,0.9775,0.90696733,0.94039788
p_EAAC(k=7),0.990833333,0.968333333,0.979583333,0.959537506,0.990833333,0.969255997,0.979860942
p_EAAC(k=5),0.986666667,0.973333333,0.98,0.960166401,0.986666667,0.973801377,0.980150976
p_EAAC(k=6),0.99,0.9725,0.98125,0.962742207,0.99,0.973127574,0.981443365
p_EAAC(k=8),0.988333333,0.965833333,0.977083333,0.954579904,0.988333333,0.966885602,0.977404533
p_EAAC(k=9),0.9825,0.955833333,0.969166667,0.939191505,0.9825,0.957806992,0.969731778
p_EAAC(k=10),0.986666667,0.93,0.958333333,0.91866416,0.986666667,0.934799831,0.959756318
